账户,代码,名称,昨日余额,当前余额,可用数,冻结数,今日买入,今日卖出,成本价,最新价,涨跌,参考市值,盈亏比例,参考盈亏,盈亏占比,个股仓位
101800000076 (集中交易) ,000333,美的集团,0,12200,12000,0,200,0,38.63,42.60,-0.0079,519720,0.102855515572009,48470.6,0.00110719026829499,0.0118717104025589
101800000076 (集中交易) ,000420,吉林化纤,0,168600,162800,0,5800,0,3.08,3.16,0.0128,532776,0.0263072426112374,13656.6,0.00031195105111134,0.0121699422408869
101800000076 (集中交易) ,000622,恒立实业,0,82300,78600,0,3700,0,6.53,6.35,-0.0063,522605,-0.0269690468893656,-14484.8,-0.000330869219654785,0.0119376110500448
101800000076 (集中交易) ,000651,格力电器,0,13300,12400,0,900,0,34.04,39.20,-0.0015,521360,0.151687869083644,68667.9,0.00156854733847432,0.0119091721224469
101800000076 (集中交易) ,000691,ST亚太,0,79201,75501,0,3700,0,6.69,6.89,0.0392,545694.89,0.0305115166018546,16157.004,0.000369066559803328,0.0124650421423771
101800000076 (集中交易) ,000698,沈阳化工,0,78619,76219,0,2400,0,6.26,6.83,0.0225,536967.77,0.0907058447780263,44655.592,0.00102004590179101,0.0122656927979448
101800000076 (集中交易) ,000761,本钢板材,0,99154,93954,0,5200,0,4.88,5.41,0.0208,536423.14,0.108606557377049,52551.62,0.00120041101713485,0.0122532520805651
101800000076 (集中交易) ,000798,中水渔业,0,57579,55279,0,2300,0,9.00,9.05,-0.0088,521089.95,0.00611450806003352,3166.845,7.2338695316308E-05,0.0119030035020471
101800000076 (集中交易) ,000968,蓝焰控股,0,35700,35100,0,600,0,13.77,14.66,-0.0027,523362,0.0649426122330379,31915.8,0.000729037048537653,0.0119549028317248
101800000076 (集中交易) ,002181,粤 传 媒,0,96100,92100,0,4000,0,5.41,5.45,-0.0037,523745,0.00795265396707974,4132.3,9.43921128617219E-05,0.0119636515138694
101800000076 (集中交易) ,002228,合兴包装,0,111133,106933,0,4200,0,4.66,4.71,-0.0042,523436.43,0.0118152524167561,6112.315,0.000139620629510538,0.0119566029999024
101800000076 (集中交易) ,002330,得利斯,0,57300,0,0,57300,0,9.11,8.95,-0.0251,512835,-0.0173473869126044,-9053.4,-0.000206802399289092,0.0117144397065656
101800000076 (集中交易) ,002397,梦洁股份,0,77300,74300,0,3000,0,6.55,6.77,-0.0044,523321,0.0340614021689323,17237.9,0.000393756939791176,0.0119539662887276
101800000076 (集中交易) ,002487,大金重工,0,83064,79500,0,3564,0,6.36,6.28,-0.0079,521641.92,-0.0128890286073562,-6811.248,-0.000155586015038883,0.0119156118834657
101800000076 (集中交易) ,002495,佳隆股份,0,113600,109400,0,4200,0,4.59,4.60,-0.0065,522560,0.00327153762268259,1704,3.89236406641275E-05,0.0119365831369991
101800000076 (集中交易) ,002549,凯美特气,0,63000,60800,0,2200,0,8.25,8.37,0.0036,527310,0.0147914645974782,7686,0.000175567548206857,0.0120450850696016
101800000076 (集中交易) ,002578,闽发铝业,0,119500,115700,0,3800,0,4.36,4.46,0.0136,532970,0.0229357798165137,11950,0.000272968019915683,0.0121743736882395
101800000076 (集中交易) ,002593,日上集团,0,99108,95708,0,3400,0,5.10,5.36,0.0113,531218.88,0.0520117762512268,26263.62,0.000599927058344597,0.0121343737084039
101800000076 (集中交易) ,002607,亚夏汽车,0,112020,107920,0,4100,0,4.52,4.71,0.0043,527614.2,0.0429583702391497,21731.88,0.000496410732438932,0.0120520337617906
101800000076 (集中交易) ,002613,北玻股份,0,104010,99310,0,4700,0,4.95,5.00,-0.0099,520050,0.0107135637760259,5512.53,0.000125920033374544,0.0118792484315607
101800000076 (集中交易) ,002641,永高股份,0,98440,95540,0,2900,0,5.26,5.36,0.0037,527638.4,0.0193990110308103,10040.88,0.000229358923164099,0.012052586550584
101800000076 (集中交易) ,300126,锐奇股份,0,60400,57300,0,3100,0,8.68,8.65,-0.0057,522460,-0.00380052977081648,-1993.2,-4.55296951712083E-05,0.0119342988857864
101800000076 (集中交易) ,300154,瑞凌股份,0,60417,58317,0,2100,0,8.49,8.61,0.0082,520190.37,0.0141342756183745,7250.04,0.000165609126620042,0.011882454834988
101800000076 (集中交易) ,300169,天晟新材,0,65998,62798,0,3200,0,7.66,7.93,-0.005,523364.14,0.0352480417754569,17819.46,0.000407041231143658,0.0119549517147008
101800000076 (集中交易) ,300179,四方达,0,79200,76400,0,2800,0,6.60,6.70,0.009,530640,0.0149977276170278,7840.8,0.000179103569084091,0.0121211506349839
101800000076 (集中交易) ,300189,神农基因,0,157500,151500,0,6000,0,3.24,3.32,-0.006,522900,0.0253242742433601,12915,0.000295011044118079,0.0119443495911222
101800000076 (集中交易) ,300217,东方电热,0,142100,137500,0,4600,0,3.77,3.71,0.0027,527191,-0.0169581346051934,-9094.4,-0.000207738942286292,0.0120423668106585
101800000076 (集中交易) ,300260,新莱应材,0,39700,37700,0,2000,0,13.62,13.11,-0.0083,520467,-0.0375156009103591,-20286.7,-0.000463399190763472,0.0118887737591176
101800000076 (集中交易) ,300277,海联讯,0,60500,58000,0,2500,0,8.45,8.65,-0.0046,523325,0.0237897976091846,12160.5,0.000277776368718382,0.0119540576587761
101800000076 (集中交易) ,300283,温州宏丰,0,71700,69200,0,2500,0,7.21,7.50,0.0232,537750,0.0406549188289164,21008.1,0.000479877779011771,0.0122835608962057
101800000076 (集中交易) ,300305,裕兴股份,0,58200,55500,0,2700,0,8.93,9.05,0.0022,526710,0.0138920008962582,7216.8,0.000164849841516946,0.0120313795623255
101800000076 (集中交易) ,300370,安控科技,0,107100,103100,0,4000,0,4.92,4.85,-0.0122,519435,-0.0146281999187322,-7711.2,-0.000176143179512453,0.0118652002866027
101800000076 (集中交易) ,300390,天华超净,0,55675,54275,0,1400,0,9.23,9.29,-0.0159,517220.75,0.00693691740732693,3563.2,8.13924392103399E-05,0.0118146212541259
101800000076 (集中交易) ,300464,星徽精密,0,41400,39800,0,1600,0,12.40,12.56,-0.011,519984,0.0132300742174895,6789.6,0.000155091520336362,0.0118777408257604
101800000076 (集中交易) ,511990,华宝添益,0,118509,118509,0,0,10000,99.267,100.011,0,11852203.599,0.00749493789476865,88170.696,0.00201404019261152,0.27073410443988
101800000076 (集中交易) ,600036,招商银行,0,22000,21300,0,700,0,21.59,23.96,0.0025,527120,0.109978689891597,52228,0.00119301872336036,0.0120407449922975
101800000076 (集中交易) ,600117,西宁特钢,0,101900,97700,0,4200,0,4.91,5.24,0.0155,533956,0.0676446617766911,33830.8,0.000772780459260543,0.0121968964051965
101800000076 (集中交易) ,600159,大龙地产,0,110670,105470,0,5200,0,4.85,4.76,0.0021,526789.2,-0.0175438596491228,-9406.95,-0.000214878369451534,0.0120331886892859
101800000076 (集中交易) ,600163,中闽能源,0,108900,105000,0,3900,0,4.58,4.82,-0.0021,524898,0.0517128518437705,25809.3,0.000589549248235133,0.0119899889303516
101800000076 (集中交易) ,600190,锦州港,0,118400,115900,0,2500,0,4.30,4.50,0.0135,532800,0.0472422620432861,24035.2,0.000549024347470914,0.0121704904611779
101800000076 (集中交易) ,600223,鲁商置业,0,113023,107223,0,5800,0,4.61,4.64,-0.0022,524426.72,0.00650759219088923,3390.69,7.74518774433395E-05,0.0119792237112365
101800000076 (集中交易) ,600231,凌钢股份,0,155100,147500,0,7600,0,3.00,3.44,0.0147,533544,0.145521145521145,67778.7,0.00154823577669114,0.0121874852902003
101800000076 (集中交易) ,600248,延长化建,0,85900,82700,0,3200,0,6.17,6.10,-0.0033,523990,-0.0107038598767435,-5669.4,-0.000129503338251881,0.0119692479293405
101800000076 (集中交易) ,600313,农发种业,0,126700,121200,0,5500,0,4.18,4.14,-0.0024,524538,-0.00862068965517253,-4561.2,-0.000104189266312922,0.011981765625986
101800000076 (集中交易) ,600370,三房巷,0,40600,40600,0,0,70000,5.08,4.10,-0.0097,166460,-0.192118226600985,-39585,-0.000904220842540779,0.00380236456863302
101800000076 (集中交易) ,600448,华纺股份,0,87900,84400,0,3500,0,5.97,5.98,0,525642,0.00184285474953931,966.9,2.20864249754371E-05,0.012006983759374
101800000076 (集中交易) ,600467,好当家,0,151600,145800,0,5800,0,3.48,3.49,0.0058,529084,0.00258546394714172,1364.4,3.11663235458542E-05,0.0120856076861146
101800000076 (集中交易) ,600475,华光股份,0,26000,24700,0,1300,0,20.08,20.02,-0.0104,520520,-0.00313698152666429,-1638,-3.74160348637564E-05,0.0118899844122604
101800000076 (集中交易) ,600505,西昌电力,0,0,0,0,0,60200,8.36,8.54,0.0012,0,0.0211646538323568,0,0,0
101800000076 (集中交易) ,600519,贵州茅台,0,1100,1000,0,100,0,456.27,455.98,-0.009,501578,-0.000624636998235605,-313.5,-7.1611275517629E-06,0.0114573015475538
101800000076 (集中交易) ,600569,安阳钢铁,0,180100,170600,0,9500,0,2.74,2.95,0.0103,531295,0.0770354143848121,38001.1,0.000868040587583085,0.012136112480427
