账户,代码,名称,昨日余额,当前余额,可用数,冻结数,今日买入,今日卖出,成本价,最新价,涨跌,参考市值,盈亏比例,参考盈亏,盈亏占比,个股仓位
101800000076 (集中交易) ,511990,华宝添益,0,241607,241607,0,0,20000,99.802,100.001,0.0001,24160941.607,0.00199394801707379,48079.793,0.00109319242434796,0.549348420237289
101800000076 (集中交易) ,002641,永高股份,0,71140,65940,0,5200,0,5.24,5.38,0.0151,382733.2,0.0265216561724862,9888.46,0.000224834361505422,0.00870222204963431
101800000076 (集中交易) ,601188,龙江交通,0,78799,73799,0,5000,0,4.73,4.84,0.0104,381387.16,0.0226072258609762,8431.493,0.000191707237041201,0.00867161707737768
101800000076 (集中交易) ,300189,神农基因,0,116900,107600,0,9300,0,3.22,3.26,0.0093,381094,0.0133664905191171,5026.7,0.00011429230486641,0.00866495148522087
101800000076 (集中交易) ,600665,天地源,0,81170,75570,0,5600,0,4.59,4.69,0.0086,380687.3,0.0229007633587787,8522.85,0.000193784425275168,0.00865570432895748
101800000076 (集中交易) ,600397,安源煤业,0,93400,86800,0,6600,0,4.00,4.07,0.0074,380138,0.0177544386096525,6631.4,0.000150778441222097,0.0086432148700554
101800000076 (集中交易) ,000420,吉林化纤,0,122900,113200,0,9700,0,3.07,3.09,0.0065,379761,0.00553205336804423,2089.3,4.75045084364277E-05,0.00863464300403303
101800000076 (集中交易) ,002613,北玻股份,0,73010,68310,0,4700,0,4.88,5.20,0.0078,379652,0.0651372388365425,23217.18,0.000527890069966046,0.00863216466611145
101800000076 (集中交易) ,600828,茂业商业,0,51600,49000,0,2600,0,7.06,7.35,0.0055,379260,0.0410764872521247,14964,0.000340237143657064,0.00862325174441179
101800000076 (集中交易) ,000809,*ST新城,0,95500,87700,0,7800,0,3.97,3.97,0.0051,379135,-0.000503524672708907,-191,-4.34277562406437E-06,0.00862040961376777
101800000076 (集中交易) ,000972,*ST中基,0,93200,85500,0,7700,0,3.99,4.06,0.0025,378392,0.0177989471045374,6617.2,0.000150455575180936,0.00860351598921971
101800000076 (集中交易) ,601003,柳钢股份,0,85800,79200,0,6600,0,4.34,4.41,0.0023,378378,0.0173010380622838,6435,0.000146312885554211,0.00860319767058758
101800000076 (集中交易) ,600163,中闽能源,0,81900,76100,0,5800,0,4.53,4.62,0.0022,378378,0.0203180212014135,7534.8,0.000171319087812567,0.00860319767058758
101800000076 (集中交易) ,601518,吉林高速,0,100358,92858,0,7500,0,3.71,3.77,0.0027,378349.66,0.0169948745616402,6322.554,0.00014375619577503,0.00860255330272797
101800000076 (集中交易) ,603002,宏昌电子,0,70850,66050,0,4800,0,5.26,5.34,0.0038,378339,0.0159817351598173,5951.4,0.000135317250518621,0.00860231092582665
101800000076 (集中交易) ,601318,中国平安,0,8100,7100,0,1000,0,46.23,46.70,0.0113,378270,0.0102539696274825,3839.4,8.72966111572395E-05,0.00860074206971115
101800000076 (集中交易) ,002528,英飞拓,0,65218,60818,0,4400,0,5.76,5.80,0.0035,378264.4,0.00676965804547816,2543.502,5.78317198186334E-05,0.00860061474225829
