账户,代码,名称,昨日余额,当前余额,可用数,冻结数,今日买入,今日卖出,成本价,最新价,涨跌,参考市值,盈亏比例,参考盈亏,盈亏占比,个股仓位
101800000076 (集中交易) ,600792,云煤能源,0,112073,112073,0,0,0,4.46,4.86,0.021,544674.78,0.0894418291862811,44717.127,0.00102031895484766,0.0124279451643099
101800000076 (集中交易) ,002330,得利斯,0,57300,57300,0,0,0,9.11,9.13,0.0201,523149,0.00252552981223251,1317.9,3.00707679765235E-05,0.0119367874619852
101800000076 (集中交易) ,600231,凌钢股份,0,155100,155100,0,0,0,3.00,3.50,0.0174,542850,0.165501165501165,77084.7,0.00175885585267465,0.0123863088216525
101800000076 (集中交易) ,000761,本钢板材,0,99154,99154,0,0,0,4.88,5.50,0.0166,545347,0.127049180327869,61475.48,0.00140269739382761,0.0124432833323417
101800000076 (集中交易) ,600819,耀皮玻璃,0,77200,77200,0,0,0,6.78,6.89,0.0162,531908,0.016524048391856,8646.4,0.000197286507498454,0.0121366431845031
101800000076 (集中交易) ,002397,梦洁股份,0,77300,77300,0,0,0,6.45,6.77,0.015,523321,0.0501008220877927,24967.9,0.000569697190804342,0.0119407120177876
101800000076 (集中交易) ,600569,安阳钢铁,0,180100,180100,0,0,0,2.74,2.99,0.0136,538499,0.0916392844103689,45205.1,0.00103145312501369,0.0122870312501631
101800000076 (集中交易) ,601996,丰林集团,0,121200,121200,0,0,0,4.29,4.52,0.0135,547824,0.0533675134001396,27754.8,0.000633286403395413,0.012499801499333
101800000076 (集中交易) ,000691,ST亚太,0,79201,79201,0,0,0,6.69,6.98,0.0131,552822.98,0.0439724798085553,23285.094,0.000531300295155581,0.0126138641502924
101800000076 (集中交易) ,300390,天华超净,0,55675,55675,0,0,0,9.23,9.39,0.0108,522788.25,0.0177758508562757,9130.7,0.000208336870144353,0.0119285561625334
101800000076 (集中交易) ,600159,大龙地产,0,110670,110670,0,0,0,4.85,4.81,0.0105,532322.7,-0.00722394220846236,-3873.45,-8.83812248415396E-05,0.0121461054710802
101800000076 (集中交易) ,600982,宁波热电,0,107100,107100,0,0,0,4.90,4.99,0.0101,534429,0.0181595592736177,9531.9,0.000217491124725263,0.0121941653076299
101800000076 (集中交易) ,002578,闽发铝业,0,119500,119500,0,0,0,4.36,4.50,0.009,537750,0.0321100917431192,16730,0.00038173150333655,0.0122699411786748
101800000076 (集中交易) ,300305,裕兴股份,0,58200,58200,0,0,0,8.93,9.13,0.0088,531366,0.0228545821196505,11872.8,0.000270903872852013,0.0121242762702886
101800000076 (集中交易) ,300126,锐奇股份,0,60400,60400,0,0,0,8.68,8.72,0.0081,526688,0.00426120004606712,2234.8,5.09918448091166E-05,0.0120175374793378
101800000076 (集中交易) ,002549,凯美特气,0,69300,69300,0,0,0,7.41,7.58,0.008,525294,0.0232181425485961,11919.6,0.00027197171710522,0.0119857303235905
101800000076 (集中交易) ,002487,大金重工,0,83064,83064,0,0,0,6.36,6.33,0.008,525795.12,-0.0050298648223829,-2658.048,-6.06491726826485E-05,0.0119971644712864
101800000076 (集中交易) ,600695,绿庭投资,0,78700,78700,0,0,0,6.78,6.68,0.0075,525716,-0.0151850213769719,-8106.1,-0.000184958382498291,0.0119953591756173
101800000076 (集中交易) ,000698,沈阳化工,0,78619,78619,0,0,0,6.26,6.88,0.0073,540898.72,0.0986905142127116,48586.542,0.00110860811234814,0.0123417861051055
101800000076 (集中交易) ,300277,海联讯,0,60500,60500,0,0,0,8.45,8.71,0.0069,526955,0.0308912297313293,15790.5,0.000360294758125271,0.0120236296677054
101800000076 (集中交易) ,002228,合兴包装,0,111133,111133,0,0,0,4.66,4.74,0.0064,526770.42,0.0182599355531686,9446.305,0.000215538087783955,0.012019418071717
101800000076 (集中交易) ,300189,神农基因,0,157500,157500,0,0,0,3.24,3.34,0.006,526050,0.0315009264978381,16065,0.000366558075379657,0.0120029801153731
101800000076 (集中交易) ,600117,西宁特钢,0,101900,101900,0,0,0,4.91,5.26,0.0038,535994,0.0717196414017929,35868.8,0.000818425041654395,0.0122298742019947
101800000076 (集中交易) ,002593,日上集团,0,99108,99108,0,0,0,5.10,5.38,0.0037,533201.04,0.055937193326791,28245.78,0.000644489184836428,0.0121661467172631
101800000076 (集中交易) ,002181,粤 传 媒,0,96100,96100,0,0,0,5.41,5.47,0.0037,525667,0.0116515627889772,6054.3,0.000138142082525432,0.0119942411335573
101800000076 (集中交易) ,600448,华纺股份,0,87900,87900,0,0,0,5.97,6.00,0.0033,527400,0.00519349974870157,2724.9,6.21745471274216E-05,0.0120337833149848
101800000076 (集中交易) ,600248,延长化建,0,85900,85900,0,0,0,6.17,6.12,0.0033,525708,-0.00746026597470001,-3951.4,-9.01598244043061E-05,0.0119951766381381
101800000076 (集中交易) ,600313,农发种业,0,126700,126700,0,0,0,4.18,4.15,0.0024,525805,-0.0062260536398467,-3294.2,-7.51643704896151E-05,0.0119973899050732
101800000076 (集中交易) ,002495,佳隆股份,0,113600,113600,0,0,0,4.59,4.61,0.0022,523696,0.00545256270447118,2840,6.48008051091333E-05,0.0119492684621242
101800000076 (集中交易) ,601188,龙江交通,0,107999,107999,0,0,0,4.76,4.87,0.0021,525955.13,0.0222502099076406,11447.894,0.000261208714085921,0.0120008154490419
101800000076 (集中交易) ,601003,柳钢股份,0,110700,110700,0,0,0,4.40,4.89,0.002,541323,0.112627986348123,54796.5,0.00125030187224036,0.0123514669803139
101800000076 (集中交易) ,600665,天地源,0,104270,104270,0,0,0,4.62,5.33,0.0019,555759.1,0.154179298397575,74240.24,0.00169395328292088,0.0126808581432139
101800000076 (集中交易) ,603002,宏昌电子,0,98050,98050,0,0,0,5.28,5.39,0.0019,528489.5,0.0212201591511937,10981.6,0.000250569197671288,0.0120586426379307
101800000076 (集中交易) ,300464,星徽精密,0,41400,41400,0,0,0,12.40,12.58,0.0016,520812,0.0148434979025492,7617.6,0.000173812187675822,0.0118834637008796
101800000076 (集中交易) ,300260,新莱应材,0,39700,39700,0,0,0,13.62,13.13,0.0015,521261,-0.0360472799353939,-19492.7,-0.0004447685400531,0.0118937086168986
101800000076 (集中交易) ,300179,四方达,0,79200,79200,0,0,0,6.60,6.71,0.0015,531432,0.0165126495985457,8632.8,0.000196976193783847,0.0121257822044919
101800000076 (集中交易) ,300169,天晟新材,0,65998,65998,0,0,0,7.66,7.94,0.0013,524024.12,0.0365535248041776,18479.44,0.000421648799283776,0.0119567552368328
101800000076 (集中交易) ,000798,中水渔业,0,57579,57579,0,0,0,9.00,9.06,0.0011,521665.74,0.00722623679822138,3742.635,8.53963947991624E-05,0.011902943644314
101800000076 (集中交易) ,511990,华宝添益,0,118523,118523,0,0,0,99.256,100.023,0.0001,11855026.029,0.00772749254453127,90907.141,0.00207424504470757,0.270498320869342
101800000076 (集中交易) ,300283,温州宏丰,0,71700,71700,0,0,0,7.21,7.50,0,537750,0.0406549188289164,21008.1,0.000479345702046896,0.0122699411786748
101800000076 (集中交易) ,000420,吉林化纤,0,168600,168600,0,0,0,3.08,3.16,0,532776,0.0263072426112374,13656.6,0.000311605167272321,0.0121564485009942
101800000076 (集中交易) ,600475,华光股份,0,26000,26000,0,0,0,20.08,20.01,-0.0005,520260,-0.00363491510232519,-1898,-4.33070169356109E-05,0.0118708686148161
