账户,代码,名称,昨日余额,当前余额,可用数,冻结数,今日买入,今日卖出,成本价,最新价,涨跌,参考市值,盈亏比例,参考盈亏,盈亏占比,个股仓位
101800000076 (集中交易) ,601015,陕西黑猫,0,9900,9900,0,0,0,6.86,6.43,-0.0403,63657,-0.0626822157434403,-4257,-0.000358357725549186,0.00535869808204945
101800000076 (集中交易) ,000595,*ST宝实,0,14900,14900,0,0,0,4.67,4.11,-0.0375,61239,-0.119537275064267,-8314.2,-0.000699896124444689,0.00515514887359798
101800000076 (集中交易) ,002248,*ST东数,0,9800,9800,0,0,0,7.01,6.28,-0.0338,61544,-0.104520176814487,-7183.4,-0.000604704459880202,0.00518082402189314
101800000076 (集中交易) ,002528,英飞拓,0,11022,11022,0,0,0,6.15,5.80,-0.0219,63927.6,-0.0569105691056911,-3857.7,-0.000324744326486045,0.00538147741034017
101800000076 (集中交易) ,002330,得利斯,0,8000,8000,0,0,0,8.43,8.02,-0.0208,64160,-0.0480712166172108,-3240,-0.000272745837627287,0.00540104103153295
101800000076 (集中交易) ,600408,安泰集团,0,18300,18300,0,0,0,3.75,3.42,-0.0116,62586,-0.0875133404482391,-6002.4,-0.000505286918448774,0.0052685404301671
101800000076 (集中交易) ,601188,龙江交通,0,13699,13699,0,0,0,4.94,4.60,-0.0086,63015.4,-0.0682600769698199,-4616.563,-0.00038862603160313,0.00530468767173412
101800000076 (集中交易) ,000968,煤气化,0,4800,4800,0,0,0,13.80,13.40,-0.0074,64320,-0.0291965514743172,-1934.4,-0.00016283936676118,0.00541450996178615
101800000076 (集中交易) ,600691,阳煤化工,0,23500,23500,0,0,0,2.91,2.69,-0.0074,63215,-0.0749656121045392,-5123,-0.000431258310544627,0.00532149016222499
101800000076 (集中交易) ,002305,南国置业,0,7900,7900,0,0,0,4.28,5.27,-0.0057,41633,0.232748538011696,7860.5,0.00066170328909546,0.00350469983269656
101800000076 (集中交易) ,000761,本钢板材,0,13800,13800,0,0,0,4.89,4.66,-0.0043,64308,-0.0466448445171849,-3146.4,-0.000264866513429166,0.00541349979201716
101800000076 (集中交易) ,002593,日上集团,0,13000,13000,0,0,0,5.24,4.99,-0.004,64870,-0.0477099236641221,-3250,-0.000273587645768112,0.00546080940953152
101800000076 (集中交易) ,000972,*ST中基,0,16700,16700,0,0,0,4.12,3.89,0,64963,-0.0565122483628426,-3891.1,-0.0003275559656764,0.00546863822524119
101800000076 (集中交易) ,300301,长方集团,0,4700,4700,0,0,0,6.19,6.35,0,29845,0.0260138956212635,756.7,6.36996220162248E-05,0.00251237639629209
101800000076 (集中交易) ,600223,鲁商置业,0,15000,15000,0,0,0,4.56,4.39,0,65850,-0.0377027619465148,-2580,-0.00021718650033284,0.00554330660733237
101800000076 (集中交易) ,600231,凌钢股份,0,22200,22200,0,0,0,2.96,2.98,0,66156,0.0084602368866328,555,4.67203518157853E-05,0.00556906593644161
101800000076 (集中交易) ,600397,安源煤业,0,16500,16500,0,0,0,4.14,3.94,0,65010,-0.0478492025132914,-3267,-0.000275018719607515,0.00547259472350307
101800000076 (集中交易) ,600467,好当家,0,19600,19600,0,0,0,3.50,3.30,0,64680,-0.0557939914163091,-3822,-0.0003217390714233,0.00544481505485584
101800000076 (集中交易) ,511990,华宝添益,0,83007,83007,0,0,0,99.991,100.004,0,8301032.028,0.000130011701053147,1079.091,9.08387588490947E-05,0.698787633841913
101800000076 (集中交易) ,002641,永高股份,0,9967,9967,0,0,0,6.79,6.78,0.0015,67576.26,-0.0013256738842244,-89.703,-7.55127156564214E-06,0.00568862457945041
101800000076 (集中交易) ,600361,华联综超,0,12100,12100,0,0,0,5.69,5.33,0.0019,64493,-0.0627747494285212,-4319.7,-0.000363635862592158,0.00542907324262242
101800000076 (集中交易) ,600724,宁波富达,0,13900,13900,0,0,0,4.88,4.68,0.0021,65052,-0.0401968826907302,-2724.4,-0.000229342209886352,0.00547613031769453
101800000076 (集中交易) ,601996,丰林集团,0,14500,14500,0,0,0,4.69,4.55,0.0022,65975,-0.0292297845103479,-1986.5,-0.000167225187174878,0.00555382920909268
101800000076 (集中交易) ,600792,云煤能源,0,15110,15110,0,0,0,4.49,4.25,0.0024,64217.5,-0.0523968784838351,-3550.85,-0.000298913443684831,0.00540588142834269
101800000076 (集中交易) ,000809,*ST新城,0,16400,16400,0,0,0,4.15,3.95,0.0025,64780,-0.0484220669718139,-3296.4,-0.00027749363554154,0.00545323313626409
101800000076 (集中交易) ,600396,金山股份,0,17300,17300,0,0,0,3.91,3.74,0.0027,64702,-0.0442116023511371,-2992.9,-0.000251944758467502,0.00544666703276566
