账户,代码,名称,昨日余额,当前余额,可用数,冻结数,今日买入,今日卖出,成本价,最新价,涨跌,参考市值,盈亏比例,参考盈亏,盈亏占比,个股仓位
101800000076 (集中交易) ,601996,丰林集团,0,15100,0,0,15100,0,4.26,4.07,-0.0833,61457,-0.0441521841240018,-2838.8,-0.000239496676248667,0.00518484825708551
101800000076 (集中交易) ,600695,绿庭投资,0,10100,0,0,10100,0,6.39,6.10,-0.0799,61610,-0.0449350242680445,-2898.7,-0.000244550167479925,0.00519775617291827
101800000076 (集中交易) ,000798,中水渔业,0,0,0,0,0,7800,8.47,8.08,-0.0616,0,-0.0455941412709661,0,0,0
101800000076 (集中交易) ,300169,天晟新材,0,8900,8800,0,100,0,7.65,7.06,-0.0612,62834,-0.0776064802717534,-5286.6,-0.000446006456480275,0.00530101949958037
101800000076 (集中交易) ,600505,西昌电力,0,0,0,0,0,8500,7.71,7.35,-0.0528,0,-0.0471869328493649,0,0,0
101800000076 (集中交易) ,002490,*ST墨龙,0,14800,14500,0,300,0,4.71,4.28,-0.051,63344,-0.091488006792613,-6378.8,-0.000538150415124348,0.00534404588568958
101800000076 (集中交易) ,000595,*ST宝实,0,16200,15500,0,700,0,4.63,3.91,-0.051,63342,-0.154777345438824,-11599.2,-0.000978571877956722,0.00534387715476366
101800000076 (集中交易) ,300277,海联讯,0,7700,7700,0,0,300,8.50,8.21,-0.0509,63217,-0.0342312669097752,-2240.7,-0.000189037692852751,0.00533333147189376
101800000076 (集中交易) ,000972,*ST中基,0,16800,16600,0,200,0,4.12,3.77,-0.0504,63336,-0.0845070422535212,-5846.4,-0.000493234242644853,0.00534337096198591
101800000076 (集中交易) ,002248,*ST东数,0,10200,10200,0,0,100,6.98,6.25,-0.0502,63750,-0.10432788764689,-7425.6,-0.000626464181750072,0.00537829826365103
101800000076 (集中交易) ,000780,*ST平能,0,16700,16500,0,200,0,4.30,3.80,-0.05,63460,-0.116895189402742,-8400.1,-0.000708678325403843,0.00535383227939285
101800000076 (集中交易) ,002593,日上集团,0,12900,12900,0,0,300,5.24,4.93,-0.0483,63597,-0.0595192674551698,-4024.8,-0.000339554115318316,0.00536539034781827
101800000076 (集中交易) ,300126,锐奇股份,0,0,0,0,0,8100,8.24,7.83,-0.0463,0,-0.0491803278688524,0,0,0
101800000076 (集中交易) ,300305,裕兴股份,0,7700,7700,0,0,0,8.97,8.25,-0.0462,63525,-0.0797546012269938,-5505.5,-0.000464474056322051,0.0053593160344852
101800000076 (集中交易) ,600397,安源煤业,0,16800,16600,0,200,0,4.13,3.81,-0.0451,64008,-0.078151463827728,-5426.4,-0.000457800748201976,0.00540006455309451
