账户,代码,名称,昨日余额,当前余额,可用数,冻结数,今日买入,今日卖出,成本价,最新价,涨跌,参考市值,盈亏比例,参考盈亏,盈亏占比,个股仓位
101800000076 (集中交易) ,511990,华宝添益,0,83073,83073,0,0,0,99.911,100.037,0,8310373.701,0.0012611223989351,10467.198,0.000875823456917596,0.695355167933854
101800000076 (集中交易) ,600361,华联综超,0,12300,12300,0,0,0,5.67,5.95,0,73185,0.0486429326753613,3394.8,0.000284053618890543,0.0061236196826041
101800000076 (集中交易) ,002248,*ST东数,0,10300,10300,0,0,0,6.97,6.80,0,70040,-0.0248099813566614,-1781.9,-0.000149097190851025,0.00586046761726571
101800000076 (集中交易) ,600223,鲁商置业,0,14900,14900,0,0,0,4.56,4.58,0,68242,0.00372561911023457,253.3,2.11944095867134E-05,0.00571002328865572
101800000076 (集中交易) ,002306,*ST云网,0,18200,18200,0,0,0,3.79,3.73,0,67886,-0.0166095438966518,-1146.6,-9.59396369211432E-05,0.00568023564628355
101800000076 (集中交易) ,002487,大金重工,0,10800,10800,0,0,0,6.25,6.28,0,67824,0.00496079372699641,334.8,2.80137715342741E-05,0.00567504791081425
101800000076 (集中交易) ,002578,闽发铝业,0,15200,15200,0,0,0,4.36,4.45,0,67640,0.0206422018348624,1368,0.000114464872935744,0.00565965205071178
101800000076 (集中交易) ,000968,蓝焰控股,0,5200,5200,0,0,0,13.73,12.98,0,67496,-0.0542805100182149,-3874,-0.000324149793679146,0.00564760311671854
101800000076 (集中交易) ,600744,华银电力,0,12800,12800,0,0,0,5.05,5.27,0,67456,0.0431512272367379,2790.4,0.000233481565380043,0.00564425619060931
101800000076 (集中交易) ,002336,人人乐,0,6800,6800,0,0,0,9.88,9.88,0,67184,-0.000303551553171946,-20.4,-1.70693231570846E-06,0.00562149709306653
101800000076 (集中交易) ,600724,宁波富达,0,14100,14100,0,0,0,4.87,4.76,0,67116,-0.0233894132129667,-1607.4,-0.000134496225699499,0.00561580731868083
101800000076 (集中交易) ,600408,安泰集团,0,19000,19000,0,0,0,3.74,3.53,0,67070,-0.0553920256890555,-3933,-0.000329086509690263,0.00561195835365522
101800000076 (集中交易) ,000622,恒立实业,0,10800,10800,0,0,0,6.27,6.21,0,67068,-0.0100430416068866,-680.4,-5.6931213118041E-05,0.00561179100734976
101800000076 (集中交易) ,600569,安阳钢铁,0,24600,24600,0,0,0,2.71,2.72,0,66912,0.00554528650646955,369,3.08753933576677E-05,0.00559873799552375
101800000076 (集中交易) ,600396,金山股份,0,17700,17700,0,0,0,3.91,3.78,0,66906,-0.0330007674597084,-2283.3,-0.000191050909630251,0.00559823595660736
101800000076 (集中交易) ,600163,中闽能源,0,14800,14800,0,0,0,4.45,4.52,0,66896,0.0148181409968567,976.8,8.17319355874522E-05,0.00559739922508006
101800000076 (集中交易) ,000780,*ST平能,0,16500,16500,0,0,0,4.31,4.05,0,66825,-0.0598885793871866,-4257,-0.000356196611175045,0.00559145843123617
101800000076 (集中交易) ,300277,海联讯,0,8000,8000,0,0,0,8.49,8.35,0,66800,-0.0168373955021783,-1144,-9.57220867240431E-05,0.0055893666024179
101800000076 (集中交易) ,002593,日上集团,0,13200,13200,0,0,0,5.24,5.06,0,66792,-0.0336134453781513,-2323.2,-0.00019438946842421,0.00558869721719605
101800000076 (集中交易) ,002330,得利斯,0,8400,8400,0,0,0,8.40,7.95,0,66780,-0.0539093181006784,-3805.2,-0.000318393080771266,0.00558769313936328
101800000076 (集中交易) ,002613,北玻股份,0,13900,13900,0,0,0,4.86,4.80,0,66720,-0.0129549660703271,-875.7,-7.32725798463676E-05,0.00558267275019943
101800000076 (集中交易) ,000798,中水渔业,0,7800,7800,0,0,0,8.47,8.55,0,66690,0.00980276367072165,647.4,5.41699990779244E-05,0.00558016255561751
101800000076 (集中交易) ,600370,三房巷,0,15400,15400,0,0,0,4.54,4.33,0,66682,-0.0468853180717588,-3280.2,-0.000274464675587593,0.00557949317039566
101800000076 (集中交易) ,601518,吉林高速,0,18100,18100,0,0,0,3.76,3.68,0,66608,-0.0202342917997869,-1375.6,-0.000115100788896498,0.00557330135709358
101800000076 (集中交易) ,600467,好当家,0,20000,20000,0,0,0,3.49,3.33,0,66600,-0.0461185906617015,-3220,-0.000269427551793198,0.00557263197187174
101800000076 (集中交易) ,600665,天地源,0,14700,14700,0,0,0,4.59,4.53,0,66591,-0.0126416739319965,-852.6,-7.13397300182859E-05,0.00557187891349716
101800000076 (集中交易) ,300126,锐奇股份,0,8100,8100,0,0,0,8.24,8.22,0,66582,-0.00254823443756814,-170.1,-1.42328032795102E-05,0.00557112585512258
101800000076 (集中交易) ,603002,宏昌电子,0,12700,12700,0,0,0,5.40,5.24,0,66548,-0.0301684249491022,-2070.1,-0.000173211793468043,0.00556828096792974
101800000076 (集中交易) ,600231,凌钢股份,0,22100,22100,0,0,0,2.96,3.01,0,66521,0.0186125211505921,1215.5,0.000101704717144296,0.005566021792806
101800000076 (集中交易) ,300305,裕兴股份,0,7700,7700,0,0,0,8.97,8.63,0,66451,-0.037367540435025,-2579.5,-0.000215834897469116,0.00556016467211485
