账户,代码,名称,昨日余额,当前余额,可用数,冻结数,今日买入,今日卖出,成本价,最新价,涨跌,参考市值,盈亏比例,参考盈亏,盈亏占比,个股仓位
101800000076 (集中交易) ,000622,恒立实业,0,35100,28300,0,6800,0,6.30,6.70,0.0198,235170,0.0639987295537558,14145.3,0.000323395526792456,0.00537655094171081
101800000076 (集中交易) ,002613,北玻股份,0,46810,42610,0,4200,0,4.76,5.01,0.0183,234518.1,0.0527421727253624,11749.31,0.0002686174416165,0.00536164694222575
101800000076 (集中交易) ,002330,得利斯,0,28400,25700,0,2700,0,8.15,8.25,0.0173,234300,0.0120215897939157,2783.2,6.3630635629415E-05,0.00535666065247626
101800000076 (集中交易) ,002487,大金重工,0,36900,33400,0,3500,0,6.24,6.35,0.016,234315,0.0179544725873676,4132.8,9.44857325845237E-05,0.00535700358849755
101800000076 (集中交易) ,603333,明星电缆,0,34100,34100,0,0,16100,7.10,6.85,0.0118,233585,-0.0356187526397297,-8627.3,-0.000197240795762307,0.00534031403546166
101800000076 (集中交易) ,601318,中国平安,0,4800,4400,0,400,0,45.10,48.14,0.0109,231072,0.0674057649667406,14592,0.000333608161506332,0.00528286082069567
101800000076 (集中交易) ,300126,锐奇股份,0,27668,25168,0,2500,0,8.31,8.41,0.0096,232687.88,0.0122773230621088,2822.136,6.45208060910659E-05,0.00531980371790063
101800000076 (集中交易) ,600036,招商银行,0,10100,9400,0,700,0,22.09,22.91,0.0075,231391,0.0369331040101384,8241.6,0.000188422767534991,0.00529015392674833
101800000076 (集中交易) ,600163,中闽能源,0,50500,45400,0,5100,0,4.51,4.60,0.0066,232300,0.0190518387239697,4343,9.92914093628016E-05,0.00531093584963822
101800000076 (集中交易) ,000420,吉林化纤,0,75700,68200,0,7500,0,3.08,3.07,0.0066,232399,-0.00357026939305424,-832.7,-1.90375216616175E-05,0.00531319922737871
101800000076 (集中交易) ,600396,金山股份,0,60000,53900,0,6100,0,3.84,3.87,0.0052,232200,0.00886339937434835,2040,4.66392988947997E-05,0.00530864960949632
101800000076 (集中交易) ,002397,梦洁股份,0,35400,32100,0,3300,0,6.43,6.54,0.0046,231516,0.0167910447761193,3823.2,8.74075331051952E-05,0.00529301172692571
101800000076 (集中交易) ,600505,西昌电力,0,0,0,0,0,26500,7.89,8.08,0.0037,0,0.0235621991385863,0,0,0
101800000076 (集中交易) ,600519,贵州茅台,0,400,400,0,0,0,444.58,465.74,0.0031,186296,0.0476025525387054,8465.2,0.000193534800492284,0.00425917393475765
101800000076 (集中交易) ,600828,茂业商业,0,32200,29400,0,2800,0,7.01,7.18,0.0028,231196,0.0239589275527667,5409.6,0.000123676446716328,0.00528569575847163
101800000076 (集中交易) ,000428,华天酒店,0,45400,41300,0,4100,0,4.91,5.09,0.002,231086,0.0366598778004073,8172,0.000186831544396227,0.00528318089431553
101800000076 (集中交易) ,002593,日上集团,0,45200,40900,0,4300,0,5.08,5.11,0.002,230972,0.0061035636936406,1401.2,3.20347968683301E-05,0.00528057458055377
101800000076 (集中交易) ,000333,美的集团,0,5700,5400,0,300,0,36.76,40.30,0.0012,229710,0.096181046676096,20155.2,0.000460796273080621,0.00525172222996296
