账户,代码,名称,昨日余额,当前余额,可用数,冻结数,今日买入,今日卖出,成本价,最新价,涨跌,参考市值,盈亏比例,参考盈亏,盈亏占比,个股仓位
101800000076 (集中交易) ,300155,安居宝,0,16100,16100,0,0,0,7.11,8.54,0.1005,137494,0.200787401574803,22990.8,0.000588837192350108,0.00352147732679967
101800000076 (集中交易) ,000622,恒立实业,0,31100,31100,0,0,0,6.27,6.57,0.0462,204327,0.0486831604150041,9485.5,0.000242941315136357,0.00523319488670775
101800000076 (集中交易) ,000333,美的集团,0,5200,5200,0,0,0,36.47,38.00,0.0442,197600,0.0418380216044306,7935.2,0.000203235245782512,0.00506090389235613
101800000076 (集中交易) ,300169,天晟新材,0,26500,26500,0,0,0,7.52,7.73,0.0404,204845,0.0273790536948432,5459,0.000139815153584879,0.00524646183112192
101800000076 (集中交易) ,601318,中国平安,0,4200,4200,0,0,0,44.74,46.03,0.0304,193326,0.0287412837475416,5401.2,0.000138334787972641,0.00495143879500831
101800000076 (集中交易) ,002613,北玻股份,0,41010,41010,0,0,0,4.74,4.82,0.0299,197668.2,0.0170922135471619,3321.81,8.50777386572243E-05,0.00506265062133113
101800000076 (集中交易) ,000651,格力电器,0,5700,5700,0,0,0,33.49,34.26,0.0298,195282,0.0229919378919079,4389,0.000112410461455218,0.0050015355966958
101800000076 (集中交易) ,300277,海联讯,0,23300,23300,0,0,0,8.41,8.48,0.0205,197584,0.0082035429794318,1607.7,4.11761902213611E-05,0.00506049410256728
101800000076 (集中交易) ,000428,华天酒店,0,39700,39700,0,0,0,4.89,4.99,0.0204,198103,0.0210763249437284,4089.1,0.000104729464100372,0.00507378665884326
101800000076 (集中交易) ,002528,英飞拓,0,34223,34223,0,0,0,5.80,5.74,0.0195,196440.02,-0.011026878015162,-2190.272,-5.60969437759041E-05,0.0050311946449014
101800000076 (集中交易) ,002578,闽发铝业,0,44700,44700,0,0,0,4.32,4.33,0.0141,193551,0.00324374420759968,625.8,1.60279031165813E-05,0.00495720146391408
101800000076 (集中交易) ,600370,三房巷,0,45200,45200,0,0,0,4.37,4.36,0.014,197072,-0.00228832951945075,-452,-1.15765615351466E-05,0.00504738082932393
101800000076 (集中交易) ,600223,鲁商置业,0,42200,42200,0,0,0,4.57,4.61,0.0132,194542,0.0098576122672508,1899,4.86369255646979E-05,0.00498258281896127
101800000076 (集中交易) ,000698,沈阳化工,0,31519,31519,0,0,0,6.14,6.18,0.0131,194787.42,0.00635075720566678,1229.241,3.14831506150999E-05,0.00498886848208507
101800000076 (集中交易) ,000761,本钢板材,0,40893,40893,0,0,0,4.77,4.76,0.0128,194650.68,-0.00272365388644456,-531.609,-1.36154962414552E-05,0.00498536631610207
101800000076 (集中交易) ,600117,西宁特钢,0,40400,40400,0,0,0,4.85,4.82,0.0105,194728,-0.00659521846661171,-1292.8,-3.31110149394636E-05,0.00498734662525671
101800000076 (集中交易) ,300283,温州宏丰,0,28100,28100,0,0,0,7.12,7.09,0.01,199229,-0.00463287940474524,-927.3,-2.3749879450313E-05,0.00510262561523391
101800000076 (集中交易) ,600519,贵州茅台,0,400,400,0,0,0,444.58,448.82,0.0099,179528,0.00954390353077194,1697.2,4.34684518527674E-05,0.0045980463258447
101800000076 (集中交易) ,600828,茂业商业,0,27900,27900,0,0,0,7.00,7.01,0.0086,195579,0.00157165309329906,306.9,7.86028038747013E-06,0.00500914231965142
101800000076 (集中交易) ,600724,宁波富达,0,40649,40649,0,0,0,4.80,4.81,0.0084,195521.69,0.00229214419670749,447.139,1.14520622749202E-05,0.00500767450385146
101800000076 (集中交易) ,600695,绿庭投资,0,31253,31253,0,0,0,6.31,6.31,0.008,197206.43,0.000158503724837446,31.253,8.00447516942339E-07,0.00505082383190616
101800000076 (集中交易) ,002397,梦洁股份,0,30400,30400,0,0,0,6.42,6.42,0.0078,195168,-0.000467071461933694,-91.2,-2.33580179647206E-06,0.00499861584445021
101800000076 (集中交易) ,000972,*ST中基,0,50100,50100,0,0,0,3.97,3.93,0.0077,196893,-0.0110719677906392,-2204.4,-5.64587881594629E-05,0.00504279630606111
101800000076 (集中交易) ,000809,*ST新城,0,48900,48900,0,0,0,4.00,3.95,0.0077,193155,-0.0127468132966759,-2493.9,-6.38734221515535E-05,0.00494705916663992
101800000076 (集中交易) ,600691,阳煤化工,0,73100,73100,0,0,0,2.73,2.67,0.0075,195177,-0.021978021978022,-4386,-0.000112333625869808,0.00499884635120644
101800000076 (集中交易) ,600190,锦州港,0,47100,47100,0,0,0,4.14,4.13,0.0073,194523,-0.00289715113471764,-565.2,-1.4475824291294E-05,0.00498209619358701
101800000076 (集中交易) ,601996,丰林集团,0,46700,46700,0,0,0,4.17,4.18,0.0072,195206,0.00336053768602961,653.8,1.67450352470771E-05,0.00499958909519874
