账户,代码,名称,昨日余额,当前余额,可用数,冻结数,今日买入,今日卖出,成本价,最新价,涨跌,参考市值,盈亏比例,参考盈亏,盈亏占比,个股仓位
101800000076 (集中交易) ,600665,天地源,0,93070,81170,0,11900,0,4.63,5.06,0.0766,470934.2,0.0928725701943844,40020.1,0.000924975007699998,0.010884589625493
101800000076 (集中交易) ,002607,亚夏汽车,0,96120,83820,0,12300,0,4.50,4.70,0.033,451764,0.0451412052479431,19512.36,0.000450984513812937,0.0104415133739941
101800000076 (集中交易) ,600408,安泰集团,0,123000,107200,0,15800,0,3.56,3.61,0.014,444030,0.0140449438202247,6150,0.000142143480335006,0.0102627592801875
101800000076 (集中交易) ,000333,美的集团,0,10800,9500,0,1300,0,38.32,40.88,0.0134,441504,0.0667223338465152,27615.6,0.000638272763502341,0.0102043764458255
101800000076 (集中交易) ,002528,英飞拓,0,75118,65218,0,9900,0,5.78,5.87,0.0086,440942.66,0.0164502164502164,7136.21,0.000164937516390484,0.0101914023285488
101800000076 (集中交易) ,600569,安阳钢铁,0,158100,138300,0,19800,0,2.72,2.79,0.0072,441099,0.0272459499263622,11699.4,0.000270405436395345,0.0101950157776083
101800000076 (集中交易) ,600467,好当家,0,125800,0,0,125800,0,3.49,3.50,0.0057,440300,0.00257805786307645,1132.2,2.61682680382592E-05,0.0101765486815452
101800000076 (集中交易) ,000972,*ST中基,0,106800,93200,0,13600,0,4.01,4.12,0.0049,440016,0.0279441117764471,11961.6,0.000276465602337433,0.0101699846574127
101800000076 (集中交易) ,600313,农发种业,0,104500,89600,0,14900,0,4.19,4.21,0.0048,439945,0.00525310410697236,2299,5.31362376081593E-05,0.0101683436513796
101800000076 (集中交易) ,002578,闽发铝业,0,99300,85400,0,13900,0,4.36,4.43,0.0045,439899,0.0158220591607429,6851.7,0.000158361704749815,0.0101672804643722
101800000076 (集中交易) ,600117,西宁特钢,0,87200,76500,0,10700,0,4.88,5.04,0.004,439488,0.0338461538461539,14388,0.000332546405700825,0.0101577811195888
101800000076 (集中交易) ,002641,永高股份,0,81440,71140,0,10300,0,5.26,5.39,0.0037,438961.6,0.024325351577347,10424.32,0.000240934817061108,0.0101456145621826
101800000076 (集中交易) ,601996,丰林集团,0,99500,85000,0,14500,0,4.28,4.41,0.0023,438795,0.0308555399719496,13134,0.000303563003369101,0.010141763976195
101800000076 (集中交易) ,600223,鲁商置业,0,94023,81123,0,12900,0,4.61,4.66,0.0022,438147.18,0.011943539630836,5171.265,0.000119522212168229,0.0101267910673445
101800000076 (集中交易) ,002593,日上集团,0,83008,72308,0,10700,0,5.11,5.28,0.0019,438282.24,0.0328638497652582,13945.344,0.000322315403354292,0.0101299126768492
101800000076 (集中交易) ,601518,吉林高速,0,115758,100358,0,15400,0,3.72,3.78,0,437565.24,0.0166756320602474,7176.996,0.000165880193461857,0.0101133408271906
101800000076 (集中交易) ,601188,龙江交通,0,90299,78799,0,11500,0,4.75,4.85,0,437950.15,0.0210526315789473,9029.9,0.00020870592082554,0.0101222371600387
101800000076 (集中交易) ,601003,柳钢股份,0,97100,85800,0,11300,0,4.36,4.51,0,437921,0.0339293901879871,14370.8,0.000332148866211107,0.0101215634230547
101800000076 (集中交易) ,600792,云煤能源,0,96373,83673,0,12700,0,4.43,4.54,0,437533.42,0.025293586269196,10793.776,0.000249473965300238,0.0101126053791346
101800000076 (集中交易) ,600691,阳煤化工,0,157500,136300,0,21200,0,2.74,2.78,0,437850,0.0160818713450291,6930,0.000160171433938471,0.0101199224170215
101800000076 (集中交易) ,600396,金山股份,0,111700,96800,0,14900,0,3.86,3.92,0,437864,0.0168612191958495,7260.5,0.000167810201458913,0.010120245995676
101800000076 (集中交易) ,300301,长方集团,0,4700,4700,0,0,0,6.19,6.35,0,29845,0.0260138956212635,756.7,1.74894262714633E-05,0.000689800352942807
