账户,代码,名称,昨日余额,当前余额,可用数,冻结数,今日买入,今日卖出,成本价,最新价,涨跌,参考市值,盈亏比例,参考盈亏,盈亏占比,个股仓位
101800000076 (集中交易) ,000333,美的集团,0,10800,10800,0,0,0,38.32,42.79,0.0467,462132,0.116590992119409,48254.4,0.00111523845831798,0.0106806297295045
101800000076 (集中交易) ,000651,格力电器,0,11700,11700,0,0,0,35.14,38.54,0.033,450918,0.0968806921675773,39826.8,0.000920462777109204,0.0104214557666829
101800000076 (集中交易) ,601318,中国平安,0,9000,9000,0,0,0,46.40,49.43,0.0277,444870,0.0652328513242679,27243,0.000629630485923701,0.0102816765507792
101800000076 (集中交易) ,300189,神农基因,0,131500,131500,0,0,0,3.23,3.38,0.0181,444470,0.0467637039331062,19856.5,0.000458916336076936,0.0102724318936427
101800000076 (集中交易) ,000698,沈阳化工,0,67719,67719,0,0,0,6.21,6.49,0.0141,439496.31,0.0457621656461489,19232.196,0.000444487645004583,0.0101574817467597
101800000076 (集中交易) ,600519,贵州茅台,0,900,900,0,0,0,458.20,472.71,0.0137,425439,0.0316696457216187,13059.9,0.000301835744342214,0.00983259421873117
101800000076 (集中交易) ,600036,招商银行,0,20700,20700,0,0,0,21.42,21.31,0.0109,441117,-0.00508893972641121,-2256.3,-5.21467997426732E-05,0.010194938555196
101800000076 (集中交易) ,002641,永高股份,0,81440,81440,0,0,0,5.26,5.43,0.0074,442219.2,0.031927023945268,13681.92,0.000316211648422318,0.0102204122079356
101800000076 (集中交易) ,600231,凌钢股份,0,144500,144500,0,0,0,2.97,3.04,0.0066,439280,0.0242587601078167,10404,0.000240453532120184,0.0101524824672967
101800000076 (集中交易) ,000420,吉林化纤,0,141200,141200,0,0,0,3.08,3.11,0.0065,439132,0.0110533159947984,4800.8,0.00011095437495219,0.0101490619441562
101800000076 (集中交易) ,600163,中闽能源,0,93500,93500,0,0,0,4.55,4.70,0.0064,439450,0.032740057130301,13931.5,0.000321979852242633,0.0101564114465797
101800000076 (集中交易) ,600828,茂业商业,0,58100,58100,0,0,0,7.11,7.48,0.0054,434588,0.0524834670043619,21671.3,0.000500859345505205,0.0100440426390856
