账户,代码,名称,昨日余额,当前余额,可用数,冻结数,今日买入,今日卖出,成本价,最新价,涨跌,参考市值,盈亏比例,参考盈亏,盈亏占比,个股仓位
101800000076 (集中交易) ,000420,吉林化纤,0,204100,164200,0,39900,0,3.14,3.46,0.0453,706186,0.102613129381772,65720.2,0.00154263817248796,0.0165761741515787
101800000076 (集中交易) ,300260,新莱应材,0,53200,40400,0,12800,0,13.54,13.22,0.0409,703304,-0.0234894371399025,-16917.6,-0.000397103714639979,0.0165085254954105
101800000076 (集中交易) ,600828,茂业商业,0,92900,69100,0,23800,0,7.81,7.50,0.0316,696750,-0.0401842846173535,-29170.6,-0.000684716131027864,0.0163546846583088
101800000076 (集中交易) ,300217,东方电热,0,191400,147000,0,44400,0,3.73,3.62,0.0255,692868,-0.0305302624531333,-21819.6,-0.00051216745944806,0.0162635631859823
101800000076 (集中交易) ,601318,中国平安,0,13000,10200,0,2800,0,47.34,52.77,0.0221,686010,0.114796349501437,70642,0.00165816667905598,0.0161025866127685
101800000076 (集中交易) ,600475,华光股份,0,35300,27100,0,8200,0,19.90,19.49,0.0183,687997,-0.0204061117812627,-14331.8,-0.000336407706617798,0.0161492270984751
101800000076 (集中交易) ,603002,宏昌电子,0,128650,98750,0,29900,0,5.28,5.33,0.0152,685704.5,0.00927854572997546,6303.85,0.00014796911213962,0.0160954156674321
101800000076 (集中交易) ,600036,招商银行,0,27100,21300,0,5800,0,22.19,25.18,0.0112,682378,0.134694245414808,81001.9,0.00190134270717455,0.0160173333444815
101800000076 (集中交易) ,002593,日上集团,0,129308,99108,0,30200,0,5.13,5.26,0.0077,680160.08,0.0255410411386236,16939.348,0.000397614201445791,0.0159652725160676
101800000076 (集中交易) ,000517,荣安地产,0,0,0,0,0,118200,4.62,4.58,0.0066,0,-0.00844338601428874,0,0,0
101800000076 (集中交易) ,002641,永高股份,0,129110,98940,0,30170,0,5.25,5.26,0.0057,679118.6,0.00171395924585783,1161.99,2.72751776478052E-05,0.0159408260474951
101800000076 (集中交易) ,002228,合兴包装,0,0,0,0,0,112033,4.65,4.66,0.0043,0,0.00322927879440271,0,0,0
101800000076 (集中交易) ,000333,美的集团,0,16000,12400,0,3600,0,39.38,42.17,0.0043,674720,0.0708753396480359,44656,0.0010482020783659,0.0158375785183411
101800000076 (集中交易) ,300263,隆华节能,0,95700,71900,0,23800,0,7.36,7.08,0.0028,677556,-0.0383048084759576,-26987.4,-0.000633470278791021,0.0159041474249661
101800000076 (集中交易) ,600052,浙江广厦,0,0,0,0,0,104400,5.13,4.97,0.002,0,-0.0317553087862849,0,0,0
101800000076 (集中交易) ,002181,粤 传 媒,0,126700,97200,0,29500,0,5.39,5.34,0.0019,676578,-0.00964391691394668,-6588.4,-0.00015464830197747,0.0158811910107632
101800000076 (集中交易) ,000651,格力电器,0,16400,12700,0,3700,0,35.26,41.08,0.0017,673712,0.164993477397765,95415.2,0.00223966344830925,0.0158139179196535
101800000076 (集中交易) ,000798,中水渔业,0,75779,58479,0,17300,0,8.98,8.92,0.0011,675948.68,-0.00646023613276897,-4395.182,-0.000103167299068353,0.0158664190980985
101800000076 (集中交易) ,600519,贵州茅台,0,1400,1100,0,300,0,450.76,456.41,0.0005,638974,0.0125321400919778,7908.6,0.000185637113869683,0.0149985192319458
101800000076 (集中交易) ,511990,华宝添益,0,80601,80601,0,0,2000,98.806,100.022,0.0001,8061873.222,0.0123069449223732,98010.816,0.00230058986549484,0.189234868031682
101800000076 (集中交易) ,600665,天地源,0,130370,98770,0,31600,0,4.72,5.18,0,675316.6,0.0969927996611604,59709.46,0.00140154917749251,0.0158515824004611
101800000076 (集中交易) ,600467,好当家,0,196400,151300,0,45100,0,3.46,3.44,0,675616,-0.00692840646651271,-4713.6,-0.000110641466243853,0.0158586101616189
101800000076 (集中交易) ,300283,温州宏丰,0,71700,71700,0,0,0,7.21,7.50,0,537750,0.0406549188289164,21008.1,0.000493119269135584,0.0126225068891361
101800000076 (集中交易) ,002613,北玻股份,0,144880,112010,0,32870,0,4.87,4.66,0,675140.8,-0.043710240098502,-30859.44,-0.000724357961868679,0.0158474558793805
101800000076 (集中交易) ,002495,佳隆股份,0,151100,116400,0,34700,0,4.56,4.47,0,675417,-0.0195218249616145,-13447.9,-0.00031566008441546,0.0158539390712034
101800000076 (集中交易) ,000761,本钢板材,0,119954,92654,0,27300,0,4.99,5.63,0,675341.02,0.127804487179487,76530.652,0.0017963899248723,0.0158521556066317
101800000076 (集中交易) ,300154,瑞凌股份,0,80917,61517,0,19400,0,8.46,8.33,-0.0012,674038.61,-0.0154828034511287,-10600.127,-0.000248814832325835,0.015821584376139
101800000076 (集中交易) ,002549,凯美特气,0,91480,70600,0,20880,0,7.40,7.37,-0.0014,674207.6,-0.00432315590380979,-2927.36,-6.87133831092171E-05,0.0158255510473416
101800000076 (集中交易) ,002652,扬子新材,0,0,0,0,0,74100,6.99,6.97,-0.0014,0,-0.00243309002433095,0,0,0
101800000076 (集中交易) ,000622,恒立实业,0,112600,84900,0,27700,0,6.39,5.99,-0.0017,674474,-0.0627444844312314,-45152.6,-0.00105985867887012,0.0158318042055661
101800000076 (集中交易) ,300218,安利股份,0,0,0,0,0,47000,11.04,11.00,-0.0018,0,-0.00398406374501996,0,0,0
101800000076 (集中交易) ,002578,闽发铝业,0,137900,105900,0,32000,0,4.43,4.89,-0.002,674331,0.103588354773189,63296.1,0.00148573771883858,0.0158284475928555
101800000076 (集中交易) ,600792,云煤能源,0,138673,109673,0,29000,0,4.53,4.86,-0.0021,673950.78,0.0728476821192053,45762.09,0.00107416512559045,0.0158195227586958
101800000076 (集中交易) ,600159,大龙地产,0,142770,108970,0,33800,0,4.82,4.72,-0.0021,673874.4,-0.0205436812616726,-14134.23,-0.000331770182329399,0.0158177299049976
101800000076 (集中交易) ,600190,锦州港,0,154600,120400,0,34200,0,4.31,4.36,-0.0023,674056,0.0108972872710412,7266.2,0.000170558176769578,0.015821992568412
101800000076 (集中交易) ,000968,蓝焰控股,0,48400,37300,0,11100,0,13.81,13.90,-0.0029,672760,0.00629841453703031,4210.8,9.88393342794501E-05,0.0157915717986708
101800000076 (集中交易) ,600231,凌钢股份,0,197500,152200,0,45300,0,3.08,3.41,-0.0029,673475,0.107502435855797,65372.5,0.00153447667430972,0.015808354862224
101800000076 (集中交易) ,600163,中闽能源,0,146200,112300,0,33900,0,4.60,4.60,-0.0043,672520,-0.000651748859439521,-438.6,-1.02951771670388E-05,0.0157859383227928
101800000076 (集中交易) ,002397,梦洁股份,0,102800,79000,0,23800,0,6.48,6.54,-0.0046,672312,0.00863664404688465,5756.8,0.000135128308060211,0.0157810559770318
101800000076 (集中交易) ,600982,宁波热电,0,0,0,0,0,105900,4.90,4.92,-0.0061,0,0.00367197062423496,0,0,0
101800000076 (集中交易) ,300189,神农基因,0,204700,155800,0,48900,0,3.25,3.28,-0.0061,671416,0.00799016594960043,5322.2,0.000124927022157806,0.015760024333754
101800000076 (集中交易) ,600695,绿庭投资,0,103300,79500,0,23800,0,6.73,6.50,-0.0061,671450,-0.0336009515313708,-23345.8,-0.000547991671468886,0.0157608224095034
101800000076 (集中交易) ,002607,亚夏汽车,0,151360,116020,0,35340,0,4.50,4.43,-0.0067,670524.8,-0.0162114146124807,-11049.28,-0.000259357718121792,0.0157391053599937
101800000076 (集中交易) ,300277,海联讯,0,82100,62500,0,19600,0,8.39,8.17,-0.0073,670757,-0.0258733754620246,-17815.7,-0.000418184650831766,0.0157445557479057
101800000076 (集中交易) ,300169,天晟新材,0,90498,69198,0,21300,0,7.61,7.40,-0.008,669685.2,-0.0272117786249507,-18733.086,-0.000439718283755982,0.0157193975835472
101800000076 (集中交易) ,600248,延长化建,0,112400,86200,0,26200,0,6.13,5.96,-0.0083,669904,-0.0269387755102041,-18546,-0.000435326848472186,0.0157245334357226
101800000076 (集中交易) ,601188,龙江交通,0,140989,109199,0,31790,0,4.77,4.75,-0.0084,669697.75,-0.00335711288292069,-2255.824,-5.29505420375241E-05,0.01571969216739
101800000076 (集中交易) ,600223,鲁商置业,0,147423,113423,0,34000,0,4.60,4.54,-0.0087,669300.42,-0.0126141800782949,-8550.534,-0.000200705112637457,0.0157103657133458
101800000076 (集中交易) ,000868,安凯客车,0,0,0,0,0,100000,5.19,5.16,-0.0096,0,-0.00654601463226796,0,0,0
101800000076 (集中交易) ,600569,安阳钢铁,0,223000,174200,0,48800,0,2.79,3.00,-0.0099,669000,0.0748835542816195,46607,0.00109399754269078,0.0157033140099155
101800000076 (集中交易) ,600313,农发种业,0,164400,126300,0,38100,0,4.16,4.06,-0.0122,667464,-0.0235690235690238,-16111.2,-0.000378175235689911,0.0156672597642963
101800000076 (集中交易) ,601518,吉林高速,0,173158,135058,0,38100,0,3.77,3.85,-0.0128,666658.3,0.0223048327137547,14545.272,0.000341418495628747,0.0156483477163176
101800000076 (集中交易) ,300370,安控科技,0,146800,112100,0,34700,0,4.84,4.54,-0.013,666472,-0.0612076095947064,-43452.8,-0.00101995958596421,0.0156439747306673
101800000076 (集中交易) ,300126,锐奇股份,0,81300,62200,0,19100,0,8.57,8.20,-0.0132,666660,-0.0436202472591556,-30406.2,-0.000713719142673083,0.015648387620105
101800000076 (集中交易) ,300305,裕兴股份,0,0,0,0,0,58700,8.94,8.69,-0.0136,0,-0.0275290957923009,0,0,0
101800000076 (集中交易) ,300239,东宝生物,0,0,0,0,0,80100,6.61,6.42,-0.0138,0,-0.0293317205926822,0,0,0
101800000076 (集中交易) ,601003,柳钢股份,0,0,0,0,0,104600,4.35,4.89,-0.0141,0,0.125431530494822,0,0,0
101800000076 (集中交易) ,000698,沈阳化工,0,0,0,0,0,76619,6.25,6.72,-0.0147,0,0.0755441741357234,0,0,0
101800000076 (集中交易) ,300211,亿通科技,0,0,0,0,0,58830,8.79,8.64,-0.0148,0,-0.0171766579456262,0,0,0
101800000076 (集中交易) ,002330,得利斯,0,77300,59500,0,17800,0,8.99,8.60,-0.016,664780,-0.0438069824327329,-30456.2,-0.000714892783480999,0.0156042587257274
101800000076 (集中交易) ,002487,大金重工,0,109764,84064,0,25700,0,6.30,6.04,-0.0179,662974.56,-0.0415741034592192,-28758.168,-0.000675035190514056,0.0155618799645225
101800000076 (集中交易) ,300390,天华超净,0,74475,57475,0,17000,0,9.16,8.89,-0.0188,662082.75,-0.0297937356760886,-20331.675,-0.000477241669465693,0.0155409466723444
101800000076 (集中交易) ,601996,丰林集团,0,0,0,0,0,107700,4.20,4.69,-0.0188,0,0.116135173726797,0,0,0
101800000076 (集中交易) ,600117,西宁特钢,0,127400,99800,0,27600,0,4.97,5.20,-0.0189,662480,0.0466988727858293,29556.8,0.000693781332628207,0.0155502712485632
101800000076 (集中交易) ,000691,ST亚太,0,0,0,0,0,75601,6.69,6.79,-0.0202,0,0.0150994169532068,0,0,0
101800000076 (集中交易) ,300464,星徽精密,0,56100,42500,0,13600,0,12.27,11.67,-0.0299,654687,-0.0490547588005215,-33772.2,-0.000792728641861985,0.0153673475922415
101800000076 (集中交易) ,300155,安居宝,0,0,0,0,0,65300,7.94,7.65,-0.0365,0,-0.0362811791383219,0,0,0
