账户,代码,名称,昨日余额,当前余额,可用数,冻结数,今日买入,今日卖出,成本价,最新价,涨跌,参考市值,盈亏比例,参考盈亏,盈亏占比,个股仓位
101800000076 (集中交易) ,511990,华宝添益,0,83000,83000,0,3000,0,99.999,100.003,-0.0001,8300249,4.00004000040489E-05,332,2.80054779895902E-05,0.700157953848246
101800000076 (集中交易) ,002641,永高股份,0,9967,8567,0,1400,0,6.79,6.77,0.0089,67476.59,-0.00279864486669614,-189.373,-1.59743415160321E-05,0.00569191010860723
101800000076 (集中交易) ,601015,陕西黑猫,0,9900,8600,0,1300,0,6.86,6.70,-0.0045,66330,-0.0233236151603499,-1584,-0.000133616497396117,0.00559519082846239
101800000076 (集中交易) ,600231,凌钢股份,0,22200,19900,0,2300,0,2.96,2.98,-0.0132,66156,0.0084602368866328,555,4.68163863982607E-05,0.00558051325867267
101800000076 (集中交易) ,600223,鲁商置业,0,15000,12900,0,2100,0,4.56,4.39,-0.0179,65850,-0.0377027619465148,-2580,-0.000217632931364887,0.0055547009807666
101800000076 (集中交易) ,601996,丰林集团,0,14500,12500,0,2000,0,4.69,4.54,-0.0173,65830,-0.0313633454235119,-2131.5,-0.000179800229924131,0.00555301390377928
101800000076 (集中交易) ,002228,合兴包装,0,14958,12858,0,2100,0,4.54,4.39,-0.0179,65665.62,-0.0319735391400221,-2168.91,-0.000182955907428922,0.00553914781802045
101800000076 (集中交易) ,601518,吉林高速,0,18100,15700,0,2400,0,3.76,3.62,-0.0216,65522,-0.0362087326943556,-2461.6,-0.000207645435599925,0.00552703291817448
101800000076 (集中交易) ,002330,得利斯,0,8000,7100,0,900,0,8.43,8.19,-0.0168,65520,-0.0278931750741841,-1880,-0.000158585236808523,0.00552686421047574
101800000076 (集中交易) ,600190,锦州港,0,16200,14100,0,2100,0,4.23,4.04,-0.0218,65448,-0.0455941412709661,-3126.6,-0.000263740745428472,0.00552079073332138
101800000076 (集中交易) ,002528,英飞拓,0,11022,9522,0,1500,0,6.15,5.93,-0.0117,65360.46,-0.0357723577235773,-2424.84,-0.000204544588097222,0.00551340639734785
101800000076 (集中交易) ,600569,安阳钢铁,0,24600,22000,0,2600,0,2.71,2.65,-0.0257,65190,-0.0203327171903882,-1353,-0.000114130758192517,0.00549902744018489
101800000076 (集中交易) ,002593,日上集团,0,13000,11100,0,1900,0,5.24,5.01,-0.0253,65130,-0.0438931297709924,-2990,-0.000252218009605044,0.00549396620922291
101800000076 (集中交易) ,600397,安源煤业,0,16500,14200,0,2300,0,4.14,3.94,-0.0296,65010,-0.0478492025132914,-3267,-0.000275584025879491,0.00548384374729896
101800000076 (集中交易) ,000972,*ST中基,0,16700,14200,0,2500,0,4.12,3.89,-0.0275,64963,-0.0565122483628426,-3891.1,-0.000328229263268959,0.00547987911637875
101800000076 (集中交易) ,600724,宁波富达,0,13900,12100,0,1800,0,4.88,4.67,-0.0331,64913,-0.0424441254869797,-2877.3,-0.000242711330781469,0.00547566142391044
101800000076 (集中交易) ,600665,天地源,0,14900,12800,0,2100,0,4.59,4.35,-0.0312,64815,-0.051667756703728,-3531.3,-0.000297878748266987,0.00546739474667255
101800000076 (集中交易) ,000968,煤气化,0,4800,4100,0,700,0,13.80,13.50,-0.0217,64800,-0.021951749619648,-1454.4,-0.000122684238518253,0.00546612943893205
101800000076 (集中交易) ,600248,延长化建,0,11400,9600,0,1800,0,5.93,5.68,-0.0291,64752,-0.0415119811002363,-2804.4,-0.000236561935162671,0.00546208045416248
101800000076 (集中交易) ,300305,裕兴股份,0,7600,6400,0,1200,0,8.97,8.52,-0.0318,64752,-0.0500613223324785,-3412.4,-0.000287849075577342,0.00546208045416248
101800000076 (集中交易) ,600467,好当家,0,19600,17000,0,2600,0,3.50,3.30,-0.0323,64680,-0.0557939914163091,-3822,-0.000322400412277752,0.00545600697700811
101800000076 (集中交易) ,000809,*ST新城,0,16400,14200,0,2200,0,4.15,3.94,-0.0367,64616,-0.0508311250301132,-3460.4,-0.000291898060346921,0.00545060833064867
101800000076 (集中交易) ,000761,本钢板材,0,13800,12100,0,1700,0,4.89,4.68,-0.037,64584,-0.0425531914893617,-2870.4,-0.000242129289220842,0.00544790900746895
