账户,代码,名称,昨日余额,当前余额,可用数,冻结数,今日买入,今日卖出,成本价,最新价,涨跌,参考市值,盈亏比例,参考盈亏,盈亏占比,个股仓位
101800000076 (集中交易) ,000761,本钢板材,0,96954,96954,0,0,2200,4.86,5.81,0.0564,563302.74,0.195473251028806,92106.3,0.00213764783407681,0.0130734041220908
101800000076 (集中交易) ,601003,柳钢股份,0,109200,109200,0,0,1500,4.39,5.04,0.0307,550368,0.149110807113543,71416.8,0.00165747584949886,0.0127732083814591
101800000076 (集中交易) ,600819,耀皮玻璃,0,0,0,0,0,77200,6.81,7.05,0.0232,0,0.035394331032457,0,0,0
101800000076 (集中交易) ,600695,绿庭投资,0,79800,78700,0,1100,0,6.78,6.82,0.021,544236,0.0054548135043491,2952.6,6.85253776874676E-05,0.0126308939413116
101800000076 (集中交易) ,600569,安阳钢铁,0,178500,178500,0,0,1600,2.74,3.05,0.0201,544425,0.114358786993058,55870.5,0.00129666975346734,0.0126352803452888
101800000076 (集中交易) ,600519,贵州茅台,0,1100,1100,0,0,0,449.48,454.47,0.0191,499917,0.011106216544525,5491.2,0.000127442441901179,0.0116023170214
101800000076 (集中交易) ,000420,吉林化纤,0,168800,168600,0,200,0,3.08,3.22,0.019,543536,0.0454545454545455,23632,0.000548462956550239,0.0126146480006555
101800000076 (集中交易) ,300189,神农基因,0,159700,157500,0,2200,0,3.24,3.40,0.018,542980,0.0497066995986416,25711.7,0.000596729646239539,0.0126017440820772
101800000076 (集中交易) ,600117,西宁特钢,0,101500,101500,0,0,400,4.91,5.35,0.0171,543025,0.0902791929896066,44964.5,0.00104355799804516,0.0126027884639765
101800000076 (集中交易) ,000651,格力电器,0,13800,13300,0,500,0,34.22,39.06,0.0169,539028,0.141504471330878,66819.6,0.0015507817946642,0.0125100241428302
101800000076 (集中交易) ,002578,闽发铝业,0,118600,118600,0,0,900,4.36,4.57,0.0156,542002,0.0486461679669575,25143.2,0.000583535621578113,0.012579046182132
101800000076 (集中交易) ,600159,大龙地产,0,110970,110670,0,300,0,4.85,4.88,0.0146,541533.6,0.00722394220846236,3883.95,9.01406017304206E-05,0.0125681753269844
