账户,代码,名称,昨日余额,当前余额,可用数,冻结数,今日买入,今日卖出,成本价,最新价,涨跌,参考市值,盈亏比例,参考盈亏,盈亏占比,个股仓位
101800000076 (集中交易) ,300155,安居宝,0,16100,0,0,16100,0,7.11,7.76,0.1007,124936,0.0909602136932376,10416.7,0.000267596508071674,0.00320950371350261
101800000076 (集中交易) ,600397,安源煤业,0,50200,17400,0,32800,0,4.01,4.02,0.0496,201804,0.00199401794616152,401.6,1.03167757199098E-05,0.00518417979925467
101800000076 (集中交易) ,000968,蓝焰控股,0,14300,5000,0,9300,0,13.87,13.87,0.0358,198341,0.000360620266858926,71.5,1.836776553719E-06,0.0050952181600165
101800000076 (集中交易) ,600408,安泰集团,0,55800,19500,0,36300,0,3.62,3.56,0.0319,198648,-0.015758916228919,-3180.6,-8.17070140805405E-05,0.00510310473906534
101800000076 (集中交易) ,300169,天晟新材,0,26500,9400,0,17100,0,7.53,7.43,0.0248,196895,-0.0126245847176081,-2517.5,-6.46725171187074E-05,0.00505807160202101
101800000076 (集中交易) ,300283,温州宏丰,0,28100,9800,0,18300,0,7.12,7.02,0.0248,197262,-0.0145985401459854,-2922.4,-7.50740671410965E-05,0.00506749953202401
101800000076 (集中交易) ,002490,*ST墨龙,0,44785,15500,0,29285,0,4.48,4.39,0.0233,196606.15,-0.0192135835567472,-3851.51,-9.89421435582414E-05,0.00505065128163581
101800000076 (集中交易) ,600505,西昌电力,0,0,0,0,0,9000,7.41,7.72,0.0198,0,0.0425388251181633,0,0,0
101800000076 (集中交易) ,600695,绿庭投资,0,31253,10900,0,20353,0,6.31,6.26,0.0179,195643.78,-0.0079239302694136,-1562.65,-4.01432011422237E-05,0.0050259287830064
101800000076 (集中交易) ,000622,恒立实业,0,31100,11000,0,20100,0,6.27,6.28,0.0162,195308,0.00223428024257904,435.4,1.11850700907588E-05,0.00501730286928322
101800000076 (集中交易) ,600396,金山股份,0,51300,18100,0,33200,0,3.84,3.81,0.016,195453,-0.00651890482398955,-1282.5,-3.29463766453792E-05,0.0050210278007558
101800000076 (集中交易) ,600163,中闽能源,0,43200,0,0,43200,0,4.51,4.52,0.0157,195264,0.0033296337402885,648,1.66465903050337E-05,0.00501617254525016
101800000076 (集中交易) ,000972,*ST中基,0,50100,17600,0,32500,0,3.98,3.90,0.0156,195390,-0.0188679245283019,-3757.5,-9.6527103504883E-05,0.00501940938225392
101800000076 (集中交易) ,002593,日上集团,0,38800,13400,0,25400,0,5.08,5.03,0.0141,195164,-0.00925743549340156,-1823.6,-4.68467933337338E-05,0.00501360362699321
101800000076 (集中交易) ,600792,云煤能源,0,44810,15910,0,28900,0,4.39,4.34,0.014,194475.4,-0.0116146663630153,-2285.31,-5.8707745817896E-05,0.00499591405587586
101800000076 (集中交易) ,601015,陕西黑猫,0,30600,10700,0,19900,0,6.51,6.36,0.0127,194616,-0.0231915220396252,-4620.6,-0.000118699436980615,0.00499952595494513
101800000076 (集中交易) ,600370,三房巷,0,45200,15900,0,29300,0,4.37,4.30,0.0118,194360,-0.0160183066361557,-3164,-8.12805736498869E-05,0.00499294952420734
101800000076 (集中交易) ,300126,锐奇股份,0,0,0,0,0,8400,7.83,8.12,0.0112,0,0.0374345215280439,0,0,0
101800000076 (集中交易) ,600665,天地源,0,42400,15000,0,27400,0,4.58,4.59,0.011,194616,0.00130890052356026,254.4,6.5353280456799E-06,0.00499952595494513
101800000076 (集中交易) ,601188,龙江交通,0,42199,14699,0,27500,0,4.72,4.61,0.011,194537.39,-0.0226839092643628,-4515.293,-0.000115994186231769,0.00499750652830334
101800000076 (集中交易) ,000428,华天酒店,0,39700,0,0,39700,0,4.89,4.89,0.0103,194133,0.000409165302782279,79.4,2.03972109601802E-06,0.00498711807976406
101800000076 (集中交易) ,300305,裕兴股份,0,22700,8000,0,14700,0,8.67,8.53,0.0095,193631,-0.0159206275957545,-3132.6,-8.04739333172047E-05,0.00497422211011417
101800000076 (集中交易) ,600828,茂业商业,0,27900,9700,0,18200,0,7.00,6.95,0.0087,193905,-0.00700100014287748,-1367.1,-3.51196814907586E-05,0.00498126094613822
101800000076 (集中交易) ,600724,宁波富达,0,40649,14100,0,26549,0,4.80,4.77,0.0085,193895.73,-0.00625000000000005,-1219.47,-3.13271874680239E-05,0.0049810228074158
101800000076 (集中交易) ,600691,阳煤化工,0,73100,25400,0,47700,0,2.73,2.65,0.0076,193715,-0.0293040293040293,-5848,-0.000150230339666415,0.00497638000145001
101800000076 (集中交易) ,601996,丰林集团,0,46700,16300,0,30400,0,4.17,4.15,0.0073,193805,-0.00407967362610978,-793.9,-2.03946420419233E-05,0.00497869202788127
101800000076 (集中交易) ,002528,英飞拓,0,34223,11822,0,22401,0,5.81,5.63,0.0072,192675.49,-0.0301464254952627,-5989.025,-0.000153853156638279,0.00494967583927719
101800000076 (集中交易) ,002397,梦洁股份,0,30400,10600,0,19800,0,6.42,6.37,0.0063,193648,-0.00840597758405982,-1641.6,-4.21713621060854E-05,0.00497465882621785
101800000076 (集中交易) ,300277,海联讯,0,23300,8000,0,15300,0,8.41,8.31,0.0061,193623,-0.0121255349500714,-2376.6,-6.10529112946653E-05,0.00497401659665362
101800000076 (集中交易) ,601518,吉林高速,0,52000,18300,0,33700,0,3.74,3.72,0.0054,193440,-0.00428265524625268,-832,-2.13733998978211E-05,0.0049693154762434
101800000076 (集中交易) ,600190,锦州港,0,47100,16500,0,30600,0,4.14,4.10,0.0049,193110,-0.0103789524499156,-2025.3,-5.20283014580012E-05,0.00496083804599547
101800000076 (集中交易) ,000798,中水渔业,0,0,0,0,0,8200,8.25,8.46,0.0048,0,0.0249575963169374,0,0,0
