账户,代码,名称,昨日余额,当前余额,可用数,冻结数,今日买入,今日卖出,成本价,最新价,涨跌,参考市值,盈亏比例,参考盈亏,盈亏占比,个股仓位
101800000076 (集中交易) ,601003,柳钢股份,0,103600,101900,0,1700,0,4.37,4.84,0.0804,501424,0.10780498970016,48795.6,0.00111978806729242,0.0115069516893743
101800000076 (集中交易) ,600569,安阳钢铁,0,164000,162800,0,1200,0,2.72,2.95,0.0424,483800,0.0837619397501838,37392,0.000858092029039466,0.0111025065160808
101800000076 (集中交易) ,002330,得利斯,0,52600,52600,0,0,200,8.81,9.18,0.0408,482868,0.0416430273459661,19304.2,0.000443003320148258,0.0110811184712834
101800000076 (集中交易) ,600231,凌钢股份,0,140700,138900,0,1800,0,2.96,3.41,0.0333,479787,0.152027027027027,63315,0.00145298718492281,0.011010414001304
101800000076 (集中交易) ,000691,ST亚太,0,71501,71501,0,0,900,6.68,6.65,0.0262,475481.65,-0.00508677438659482,-2431.034,-5.5788695382005E-05,0.0109116124791274
101800000076 (集中交易) ,300155,安居宝,0,59300,0,0,59300,0,7.91,8.02,0.0243,475586,0.0135220523189687,6345.1,0.000145610818716793,0.0109140071598942
101800000076 (集中交易) ,000761,本钢板材,0,88693,88693,0,0,1200,4.83,5.35,0.0229,474507.55,0.108119304059652,46297.746,0.00106246595007204,0.0108892583005468
101800000076 (集中交易) ,600117,西宁特钢,0,92100,91500,0,600,0,4.88,5.15,0.0218,474315,0.0548955346169604,24682.8,0.000566434369233401,0.0108848395580299
101800000076 (集中交易) ,300189,神农基因,0,142800,142800,0,0,400,3.23,3.32,0.0215,474096,0.0285006195786864,13137.6,0.00030148881687818,0.0108798138264734
101800000076 (集中交易) ,300169,天晟新材,0,59098,59098,0,0,600,7.63,8.01,0.0204,473374.98,0.050354051927616,22693.632,0.000520785856042869,0.0108632674658942
101800000076 (集中交易) ,600475,华光股份,0,23200,22900,0,300,0,20.07,20.33,0.0201,471656,0.0128032680715388,5962.4,0.000136828410193221,0.0108238193744287
101800000076 (集中交易) ,002607,亚夏汽车,0,101520,100520,0,1000,0,4.50,4.66,0.0197,473083.2,0.036016007114273,16446.24,0.000377417293850825,0.0108565715391657
101800000076 (集中交易) ,601996,丰林集团,0,107900,107100,0,800,0,4.28,4.38,0.0186,472602,0.0233644859813083,10790,0.000247614810476461,0.010845528698869
101800000076 (集中交易) ,300154,瑞凌股份,0,54617,54417,0,200,0,8.64,8.61,0.0153,470252.37,-0.00358754773753045,-1693.127,-3.88548027078387E-05,0.0107916081069191
101800000076 (集中交易) ,600665,天地源,0,92970,92970,0,0,700,4.56,5.06,0.014,470428.2,0.110136024572181,46670.94,0.0010710302097181,0.0107956431497482
101800000076 (集中交易) ,002397,梦洁股份,0,69500,69500,0,0,800,6.52,6.77,0.0135,470515,0.0377069282648681,17097,0.000392351289593703,0.010797635083534
101800000076 (集中交易) ,300464,星徽精密,0,37200,37200,0,0,100,12.36,12.63,0.0128,469836,0.0215140731154966,9895.2,0.000227080451587273,0.0107820530208544
101800000076 (集中交易) ,600982,宁波热电,0,95900,95800,0,100,0,4.90,4.90,0.0124,469910,-0.000407996736026067,-191.8,-4.40153110744998E-06,0.0107837512132524
101800000076 (集中交易) ,600313,农发种业,0,113200,112900,0,300,0,4.18,4.15,0.0122,469780,-0.00693945920076571,-3282.8,-7.53354865460729E-05,0.0107807679022829
101800000076 (集中交易) ,600819,耀皮玻璃,0,0,0,0,0,69200,6.69,6.81,0.0119,0,0.0183938986092417,0,0,0
101800000076 (集中交易) ,600467,好当家,0,136100,136100,0,0,800,3.48,3.45,0.0117,469545,-0.00947459086993968,-4491.3,-0.000103068804290355,0.0107753749939917
101800000076 (集中交易) ,300305,裕兴股份,0,51800,51700,0,100,0,8.91,9.06,0.0112,469308,0.0167209067444732,7718.2,0.000177121467119502,0.0107699361886086
101800000076 (集中交易) ,000622,恒立实业,0,73300,73300,0,0,300,6.54,6.40,0.0111,469120,-0.02200488997555,-10555.2,-0.000242226491894453,0.0107656218619757
